,Title,Rating,TotalVotes,Genre1,MetaCritic,Budget,Runtime,Ô..CVotes10,CVotes09,CVotes08,CVotes07,CVotes06,CVotes05,CVotes04,CVotes03,CVotes02,CVotes01,CVotesMale,CVotesFemale,CVotesU18,CVotesU18M,CVotesU18F,CVotes1829,CVotes1829M,CVotes1829F,CVotes3044,CVotes3044M,CVotes3044F,CVotes45A,CVotes45AM,CVotes45AF,CVotes1000,CVotesUS,CVotesnUS,VotesM,VotesF,VotesU18,VotesU18M,VotesU18F,Votes1829,Votes1829M,Votes1829F,Votes3044,Votes3044M,Votes3044F,Votes45A,Votes45AM,Votes45AF,VotesIMDB,Votes1000,VotesUS,VotesnUS
6,Argo†(2012),7.7,"486,840",Action,86,$51550000.0,120 min,43875,89490,171495,115165,37332,12630,4992,2910,2020,6941,†334838,†67910,†971,†795,†162,†178794,†146371,†30643,†163795,†136391,†24948,†36215,†28817,†6752,†740,†70110,†229137,†7.7,†7.9,†8.0,†8.0,†7.8,†7.8,†7.8,†7.9,†7.7,†7.6,†7.8,†7.7,†7.7,†8.0,†8.1,†7.2,†8.0,†7.6
15,Captain America: Civil War†(2016),7.8,"431,555",Action,75,$194800000.0,147 min,81893,90156,117188,79377,32782,12322,5095,2994,1989,7786,†264239,†43818,†3572,†2865,†683,†148991,†124124,†23355,†105069,†91345,†12135,†19151,†16351,†2459,†593,†48777,†153638,†7.8,†7.9,†8.3,†8.3,†8.6,†8.0,†8.0,†8.0,†7.7,†7.7,†7.8,†7.6,†7.6,†7.9,†7.7,†7.5,†8.1,†7.7
16,Captain America: The Winter Soldier†(2014),7.7,"552,706",Action,70,$194800000.0,136 min,84943,103896,169440,120197,44124,14639,5571,2735,1932,5248,†360615,†66751,†3765,†2900,†844,†208526,†170111,†36456,†150264,†129500,†18637,†28922,†24313,†4103,†720,†72120,†213180,†7.7,†7.9,†8.3,†8.2,†8.5,†7.8,†7.8,†7.9,†7.6,†7.6,†7.7,†7.7,†7.6,†7.8,†7.6,†7.5,†8.1,†7.5
21,Dawn of the Planet of the Apes†(2014),7.6,"349,646",Action,79,$194800000.0,130 min,37605,58021,112652,84789,33747,11561,4734,2392,1470,2707,†250421,†32032,†1720,†1468,†236,†128574,†111856,†15469,†110394,†98110,†10765,†21701,†18794,†2510,†649,†42877,†154981,†7.6,†7.5,†8.0,†8.0,†7.9,†7.7,†7.8,†7.5,†7.5,†7.5,†7.4,†7.4,†7.4,†7.4,†7.2,†7.4,†7.8,†7.5
22,Deadpool†(2016),8,"652,127",Action,65,$51550000.0,108 min,147467,147966,170810,105717,41811,15510,7046,4273,3037,8538,†391955,†79804,†4598,†3601,†969,†232840,†186139,†44316,†159222,†135428,†21521,†28753,†24218,†4009,†667,†67933,†241138,†8.0,†8.1,†8.4,†8.4,†8.6,†8.1,†8.1,†8.1,†7.9,†7.9,†7.9,†7.8,†7.8,†7.9,†8.0,†7.3,†8.1,†7.9
27,Doctor Strange†(2016),7.6,"328,932",Action,72,$123020000.0,115 min,38952,51465,102744,83322,32430,10744,3786,1854,1038,2667,†202386,†42203,†2526,†1970,†540,†117060,†93330,†22484,†87961,†74305,†12327,†17122,†14163,†2629,†545,†36644,†133095,†7.5,†7.8,†8.0,†8.0,†8.3,†7.6,†7.6,†7.8,†7.4,†7.4,†7.7,†7.5,†7.4,†7.8,†7.7,†7.1,†7.6,†7.4
29,Edge of Tomorrow†(2014),7.8,"480,513",Action,71,$194800000.0,113 min,60383,99596,175961,100724,28982,8145,2858,1368,857,1661,†341199,†45790,†1893,†1584,†292,†172016,†148814,†21495,†157476,†138752,†16463,†30965,†26562,†3820,†691,†55486,†217557,†7.9,†7.8,†8.2,†8.1,†8.2,†8.0,†8.0,†7.8,†7.8,†7.8,†7.7,†7.8,†7.8,†7.8,†8.1,†7.5,†8.0,†7.8
33,Fury†(2014),7.6,"337,571",Action,64,$123020000.0,134 min,36753,54703,111271,82505,30231,10553,4303,2388,1629,3246,†238800,†30746,†1234,†1028,†196,†127986,†110868,†15886,†99386,†88611,†9444,†21524,†18781,†2392,†548,†35750,†148301,†7.6,†7.6,†8.0,†8.0,†8.3,†7.7,†7.7,†7.7,†7.4,†7.4,†7.4,†7.4,†7.4,†7.4,†7.2,†6.8,†7.6,†7.5
36,Guardians of the Galaxy†(2014),8,"778,220",Action,76,$194800000.0,121 min,156606,185326,216876,127878,49009,18501,8326,4772,3243,7714,†491689,†101957,†5154,†3949,†1170,†288707,†231018,†54884,†207895,†176032,†28924,†42006,†34512,†6802,†774,†97905,†296439,†8.0,†8.1,†8.4,†8.4,†8.5,†8.1,†8.1,†8.1,†7.9,†7.9,†8.0,†7.9,†7.9,†8.0,†8.3,†7.6,†8.3,†7.9
47,Inception†(2010),8.2,"1,609,713",Action,74,$123020000.0,148 min,584839,485218,304457,130972,46393,20595,10050,6631,5243,15365,†1044318,†239796,†5678,†4462,†1184,†655187,†512411,†136770,†472680,†392845,†73555,†79634,†65508,†12795,†885,†212524,†707266,†8.8,†8.7,†9.1,†9.1,†9.0,†9.0,†9.0,†8.8,†8.7,†8.7,†8.5,†8.1,†8.1,†8.0,†8.6,†8.2,†8.7,†8.8
3,50/50†(2011),7.7,"283,935",Comedy,72,$12550000.0,100 min,28304,47501,99524,71485,24252,7545,2381,1109,634,1202,†188925,†58348,†506,†348,†153,†132350,†96269,†34765,†94745,†75394,†18163,†12829,†9912,†2681,†555,†46947,†147849,†7.7,†7.7,†7.9,†7.9,†7.9,†7.8,†7.8,†7.7,†7.6,†7.6,†7.6,†7.4,†7.4,†7.5,†7.4,†7.0,†7.9,†7.6
48,Inside Out†(2015),8.2,"430,229",Comedy,94,$194800000.0,95 min,87509,113244,119801,67153,24210,8542,3349,1872,1123,3450,†244433,†79081,†3361,†2294,†1040,†170056,†121574,†46685,†108560,†86312,†20516,†18694,†14910,†3416,†587,†48297,†176446,†8.2,†8.2,†8.4,†8.4,†8.3,†8.3,†8.3,†8.3,†8.1,†8.1,†8.1,†7.9,†7.9,†7.9,†8.6,†7.6,†8.2,†8.1
53,La La Land†(2016),8.2,"290,330",Comedy,93,$26300000.0,128 min,74245,71191,64640,38831,17377,8044,3998,2839,2407,6802,†157693,†56713,†2675,†1784,†868,†113008,†78998,†32730,†66058,†50835,†14165,†15765,†12148,†3302,†454,†33360,†117987,†8.2,†8.1,†8.9,†9.0,†8.7,†8.4,†8.4,†8.2,†7.9,†7.9,†7.8,†7.6,†7.6,†7.5,†8.4,†7.1,†8.3,†8.1
63,Moonrise Kingdom†(2012),7.7,"258,231",Comedy,84,$12550000.0,94 min,34789,53660,82864,50730,19378,7682,3443,1949,1340,2407,†164811,†53362,†699,†503,†189,†101334,†71073,†29082,†89676,†70995,†17363,†19062,†14894,†3822,†637,†48041,†125272,†7.8,†7.9,†8.3,†8.3,†8.2,†8.0,†8.0,†8.0,†7.6,†7.6,†7.7,†7.5,†7.5,†7.6,†7.7,†7.2,†8.0,†7.7
64,Nebraska†(2013),7.7,"97,059",Comedy,86,$12550000.0,115 min,8377,17556,35402,22938,7672,2578,993,535,372,638,†70069,†13162,†154,†128,†23,†33708,†28004,†5354,†35361,†29899,†4966,†11142,†8910,†2028,†458,†18237,†48960,†7.7,†7.7,†8.0,†8.0,†7.5,†7.8,†7.9,†7.8,†7.7,†7.7,†7.7,†7.7,†7.7,†7.9,†7.7,†7.3,†7.8,†7.7
72,Scott Pilgrim vs. the World†(2010),7.6,"297,633",Comedy,69,$51550000.0,112 min,47292,48976,79198,59689,28452,13451,6977,4254,3069,6287,†208417,†45718,†1022,†791,†221,†129202,†99363,†28557,†102986,†88456,†13334,†14195,†12157,†1778,†677,†56559,†150511,†7.5,†7.4,†8.1,†8.2,†8.0,†7.6,†7.7,†7.5,†7.4,†7.4,†7.2,†7.1,†7.1,†7.0,†7.8,†6.6,†7.8,†7.4
76,Silver Linings Playbook†(2012),7.7,"570,344",Comedy,81,$26300000.0,122 min,73783,107247,184382,123467,46614,17257,6997,3682,2457,4470,†338051,†131000,†1548,†875,†660,†236404,†160001,†73922,†170543,†129880,†38160,†32839,†24722,†7550,†733,†79953,†259084,†7.8,†7.7,†8.1,†8.1,†8.1,†7.9,†7.9,†7.7,†7.6,†7.7,†7.6,†7.6,†7.6,†7.7,†8.0,†6.9,†8.0,†7.6
84,The Artist†(2011),8,"201,344",Comedy,89,$12550000.0,100 min,31192,45532,61088,35456,13521,5549,2569,1561,1248,3627,†133682,†40741,†363,†269,†92,†78061,†56575,†20653,†72326,†56949,†14301,†19149,†15042,†3773,†630,†32063,†109571,†7.9,†8.1,†8.0,†8.0,†8.3,†8.1,†8.1,†8.2,†7.8,†7.8,†8.0,†7.8,†7.8,†8.1,†8.1,†7.1,†8.0,†7.9
